,url,timestamp,sentence,RR
0,https://www.stevehargadon.com/2012/12/wednesday-talk-live-with-gina-bianchini.html,2019-04-24T05:48:33Z,Then join us Wednesday using the link below to the event's Blackboard Collaborate room.,F
1,https://www.martinkloss.com/news/fujitsu-visit-2010/,2019-04-22T06:15:49Z,"As in previous years, I had the privilege of working as a host alongside my collegue Verena Wriedt and the great team from Head of Event.",F
2,http://tonyandkaylene.com/albuterol-pills-buy-online.html,2019-04-23T18:41:28Z,Diflucan zonder voorschrift albuterol sulfate order online how much does glucophage cost without insurance generic albuterol solution what is the medicine doxycycline hyclate.,F
3,https://www.atheans.ie/2019/04/ipads-and-story-creator-app/,2019-04-20T10:25:09Z,!,F
4,https://www.plant-world-seeds.com/store/view_seed_item/4793,2019-04-25T12:33:15Z,"New, rare, delicious, and barely ever available in the Western World, the beige skin of this fruit contains luscious flesh which is sweet, tasty and delicious, and which is translucent white, with the shiny brown seed visible inside, looking like the pupil of an eye.",T
5,https://www.ssww.com/item/color-splash-round-uv-bead-assortment-BE1217/,2019-04-24T04:57:14Z,I wish that these beads were offered in different colors but from experience these colors are pretty much the colors you get.,T
6,http://worldinfozone.com/country.php?country=Bangladesh,2019-04-24T20:47:30Z,"Formerly East Pakistan, it also borders on Myanmar (Burma).",F
7,https://gretnapolice.com/citizen-resources/submit/submit-anonymous-tip/,2019-04-21T16:03:07Z,"If you wish to be contacted, please leave you email address below.",F
8,https://whoswhoincannabis.com/tylerstratford,2019-04-26T01:52:04Z,"Some may just have company name, some may have registered address and limited contact information, but all will have some record of the license, of course.",F
9,https://www.reuters.com/article/us-usa-antibiotics-yum-insight/kfc-faces-pressure-after-mcdonalds-says-no-antibiotics-in-chicken-idUSKBN0M80B720150312,2019-04-23T22:39:04Z,"Poultry rated A is what’s typically found at retail, while poultry rated B or C is usually used in further-processed products where the meat is cut up, chopped, or ground, according to a USDA website.",F
10,http://images.ourontario.ca/whitby/2738077/data,2019-04-23T22:15:12Z,Whitby Archives A2013_042_142.,F
11,http://thousandbars.blogspot.com/2007_10_28_archive.html,2019-04-19T23:11:50Z,"Alas, it is an argument she will never win.",T
12,https://www.ultraboardgames.com/roma/game-rules.php,2019-04-18T19:29:38Z,Laying a card costs the number of sestertii shown on the card.,T
13,https://blogs.cisco.com/gov/may_7_2007_french_election_results,2019-04-22T22:46:00Z,They’re waiting for it.,F
14,https://shopping.drugsourceinc.com/shopping_product_detail.asp?pid=1681,2019-04-19T10:33:54Z,"Due to the personal nature of these items, returns will not be accepted.",F
15,https://saskatoonexpress.com/2019/03/25/major-changes-coming-to-jazz-festival/,2019-04-18T16:42:52Z,"For a major concert, the visiting acts need the time to unload their equipment, set up the stage as they see fit, and do sound checks, usually at about four in the afternoon.",F
16,https://www.terabyteunlimited.com/ucf/viewtopic.php?p=12723,2019-04-25T11:48:59Z,"It's freeware, open source and has versions that run in Windows, Mac, Linux and Android.",F
17,https://www.greengoodsusa.com/forbo-marmoleum-composition-tile.html,2019-04-22T02:08:41Z,"Made from natural renewable ingredients, MCT features inherent bacteria repelling properties to keep you healthy.",F
18,https://kodiakcontrols.com/sanitary-instruments/,2019-04-18T20:44:21Z,A rugged 316 SS or epoxy-coated aluminum enclosure gives uncompromising protection.,F
19,http://vaucyacu6.cba.pl/forex-market-articles-your-friend-or-enemy.html,2019-04-23T06:57:50Z,The companies provided a negative balance protection at the time if adverse market situations.,F
20,https://www.colorwaysbyvicki.com/blog/oldies-but-goodies-week,2019-04-23T08:35:16Z,"I plan on a little hiking, a little kayaking and a lot of reading and sewing....and eating.",F
21,https://www.lastminute.com/flights/granada-barcelona,2019-04-25T21:07:55Z,Greetings!,F
22,http://www.tuskerette.com/,2019-04-19T20:51:44Z,Play and enjoy the song.,F
23,https://www.1card.com/blog/2016/03/04/unique-experiences-of-campus-card-administrators,2019-04-25T00:17:23Z,I can definitely attest to this as a past campus card administrator.,F
24,https://jesuscaballero.com/belmond-reid-palace-funchal-wedding-photographer/,2019-04-24T08:58:49Z,Welcome!,F
25,http://odorokikarakon.info/decorative-wall-sconces-candle-holders/fashionable-wall-candle-holders-theblackdrop-decor-regarding-with-regard-to-decorative-sconces-inspirations-5/,2019-04-20T20:22:52Z,"Tap The Thumbnail Bellow to See Related Gallery of ""Fashionable Wall Candle Holders Theblackdrop Decor Regarding With Regard To Decorative Sconces Inspirations 5""",F
26,https://uk.reuters.com/business/stocks/officer-profile/SOLJ.J/2574577,2019-04-25T00:57:49Z,"Prior to that, he was the Managing Director of Sasol Infrachem.",F
27,http://rocknrollcocktail.com/megadeth-return-juggernaut-metal-show-live-review-exclusive-photos/,2019-04-19T06:29:57Z,"A mix of classics, set staples and of course a few surprises along the way.",F
28,http://www.summerlands-chuffer.co.uk/coal-firing/4577411811,2019-04-23T20:55:24Z,"The first two films feature the John Shawe Manning Wardle ""Ace"" which he converted from a standard Roundhouse loco.",T
29,https://shiptons.ca/shiptons-blog.php?postID=183&article=the-time-is-now-help-others-this-holiday-season-cash-in-on-hvac-savings,2019-04-19T09:17:52Z,"If you are like many of our customers who have older HVAC systems, you are likely hoping your existing furnace or boiler system will make it through yet another notorious Canadian winter without breaking down or conking out.",T
30,http://lists.netfilter.org/pipermail/netfilter-cvslog/2009-January/006210.html,2019-04-21T06:13:11Z,hash callbacks registered when the hashtable is created.,F
31,http://swanmore-school.co.uk/pupils/home2school/,2019-04-19T12:43:55Z,This will allow you to access your school documents and shared resources like the R drive.,F
32,https://malikuvhnusadech.eu/5-euro-storten-online-casino.html,2019-04-21T22:51:19Z,Mr play casino Casino bonus ersteinzahlung 5 Euros Free.,F
